volgnummer,filename,side,main_document,reason,series_first,released_path,original_path,folder,exif_orientation,exif_name,rotation_applied,width,height,archief,fonds,signatuur,jaar,maand,dag,extra_info,inverted,grayscale
105,105o.jpg,recto,1,recto,,images/pages-recto/105o.png,images/archive-original/1270-1279/105o.jpg,1270-1279,6,90-cw,1,2024,1436,Bisdom Brugge,Urbanisten,,1274,01,13,,0,0
106,106m.jpg,verso,0,verso,,images/pages-verso/106m.png,images/archive-original/1270-1279/106m.jpg,1270-1279,6,90-cw,1,2024,1436,Potterie Brugge,,,1274,03,xx,,0,0
106,106o.jpg,recto,1,recto,,images/pages-recto/106o.png,images/archive-original/1270-1279/106o.jpg,1270-1279,6,90-cw,1,2024,1436,Potterie Brugge,,,1274,03,xx,,0,0
107,107m.jpg,verso,0,verso,,images/pages-verso/107m.png,images/archive-original/1270-1279/107m.jpg,1270-1279,6,90-cw,1,2024,1436,C.O.O. Brugge,Magdalenahospitaal,,1274,04,12,,0,0
107,107o.jpg,recto,1,recto,,images/pages-recto/107o.png,images/archive-original/1270-1279/107o.jpg,1270-1279,6,90-cw,1,2024,1436,C.O.O. Brugge,Magdalenahospitaal,,1274,04,12,,0,0
108,108m.jpg,verso,0,verso,,images/pages-verso/108m.png,images/archive-original/1270-1279/108m.jpg,1270-1279,6,90-cw,1,2024,1436,C.O.O. Brugge,Begijnhof,,1274,04,13,,0,0
108,108o.jpg,recto,1,recto,,images/pages-recto/108o.png,images/archive-original/1270-1279/108o.jpg,1270-1279,6,90-cw,1,2024,1436,C.O.O. Brugge,Begijnhof,,1274,04,13,,0,0
109,109m.jpg,verso,0,verso,,images/pages-verso/109m.png,images/archive-original/1270-1279/109m.jpg,1270-1279,6,90-cw,1,2024,1436,RA Brugge,Vrije,900,1274,05,26,,0,0
109,109o.jpg,recto,1,recto,,images/pages-recto/109o.png,images/archive-original/1270-1279/109o.jpg,1270-1279,6,90-cw,1,2024,1436,RA Brugge,Vrije,900,1274,05,26,,0,0
110,110m.jpg,verso,0,verso,,images/pages-verso/110m.png,images/archive-original/1270-1279/110m.jpg,1270-1279,6,90-cw,1,1654,1168,RA Gent,Sint-Baafs,,1274,08,26,,0,0
110,110o.jpg,recto,1,recto,,images/pages-recto/110o.png,images/archive-original/1270-1279/110o.jpg,1270-1279,6,90-cw,1,1654,1168,RA Gent,Sint-Baafs,,1274,08,26,,0,0
111,111m.jpg,verso,0,verso,,images/pages-verso/111m.png,images/archive-original/1270-1279/111m.jpg,1270-1279,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Eekhout,,1274,09,15,,0,0
111,111o.jpg,recto,1,recto,,images/pages-recto/111o.png,images/archive-original/1270-1279/111o.jpg,1270-1279,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Eekhout,,1274,09,15,,0,0
112,112m.jpg,verso,0,verso,,images/pages-verso/112m.png,images/archive-original/1270-1279/112m.jpg,1270-1279,6,90-cw,1,2024,1436,RA Brugge,blauw,3141,1274,10,20,,0,0
112,112o.jpg,recto,1,recto,,images/pages-recto/112o.png,images/archive-original/1270-1279/112o.jpg,1270-1279,6,90-cw,1,2024,1436,RA Brugge,blauw,3141,1274,10,20,,0,0
113,113m.jpg,verso,0,verso,,images/pages-verso/113m.png,images/archive-original/1270-1279/113m.jpg,1270-1279,6,90-cw,1,2024,1436,RA Brugge,blauw,7117,1275,02,01,,0,0
113,113o.jpg,recto,1,recto,,images/pages-recto/113o.png,images/archive-original/1270-1279/113o.jpg,1270-1279,6,90-cw,1,2024,1436,RA Brugge,blauw,7117,1275,02,01,,0,0
114,114m.jpg,verso,0,verso,,images/pages-verso/114m.png,images/archive-original/1270-1279/114m.jpg,1270-1279,1,native,0,1656,2339,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1275,04,26,,0,0
114,114o.jpg,recto,1,recto,,images/pages-recto/114o.png,images/archive-original/1270-1279/114o.jpg,1270-1279,1,native,0,2339,1656,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1275,04,26,,0,1
115,115m.jpg,verso,0,verso,,images/pages-verso/115m.png,images/archive-original/1270-1279/115m.jpg,1270-1279,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,,1275,05,31,,0,0
115,115o.jpg,recto,1,recto,,images/pages-recto/115o.png,images/archive-original/1270-1279/115o.jpg,1270-1279,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,,1275,05,31,,0,0
116,116m.jpg,verso,0,verso,,images/pages-verso/116m.png,images/archive-original/1270-1279/116m.jpg,1270-1279,6,90-cw,1,2024,1436,Potterie Brugge,,,1275,07,13,,0,0
116,116o.jpg,recto,1,recto,,images/pages-recto/116o.png,images/archive-original/1270-1279/116o.jpg,1270-1279,6,90-cw,1,2024,1436,Potterie Brugge,,,1275,07,13,,0,0
117,117m.jpg,verso,0,verso,,images/pages-verso/117m.png,images/archive-original/1270-1279/117m.jpg,1270-1279,6,90-cw,1,2024,1436,Spermalie Brugge,,,1275,12,10,,0,0
117,117o.jpg,recto,1,recto,,images/pages-recto/117o.png,images/archive-original/1270-1279/117o.jpg,1270-1279,6,90-cw,1,2024,1436,Spermalie Brugge,,,1275,12,10,,0,0
118,118m.jpg,verso,0,verso,,images/pages-verso/118m.png,images/archive-original/1270-1279/118m.jpg,1270-1279,6,90-cw,1,2024,1436,Spermalie Brugge,,,1275,12,10,,0,0
118,118o.jpg,recto,0,neardup_of=117o,,images/pages-recto/118o.png,images/archive-original/1270-1279/118o.jpg,1270-1279,6,90-cw,1,2024,1436,Spermalie Brugge,,,1275,12,10,,0,0
119,119m.jpg,verso,0,verso,,images/pages-verso/119m.png,images/archive-original/1270-1279/119m.jpg,1270-1279,6,90-cw,1,2024,1436,Spermalie Brugge,,,1275,12,10,,0,0
119,119o.jpg,recto,0,neardup_of=117o,,images/pages-recto/119o.png,images/archive-original/1270-1279/119o.jpg,1270-1279,6,90-cw,1,2024,1436,Spermalie Brugge,,,1275,12,10,,0,0
120,120m.jpg,verso,0,verso,,images/pages-verso/120m.png,images/archive-original/1270-1279/120m.jpg,1270-1279,6,90-cw,1,2024,1436,Spermalie Brugge,,,1275,12,10,,0,0
